"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Standing Calf Raise",,"8kg",1,"normal",,15,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Standing Calf Raise",,"8kg",2,"normal",,15,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Seated Calf Raise",,"",0,"normal",35,12,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Seated Calf Raise",,"",1,"normal",45,10,,,
"LEGS","May 27, 2026, 4:46 PM","May 27, 2026, 5:20 PM","","Seated Calf Raise",,"",2,"normal",45,10,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bent Over Row (Barbell)",,"",0,"normal",35,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bent Over Row (Barbell)",,"",1,"normal",35,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bent Over Row (Barbell)",,"",2,"normal",35,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Lat Pulldown (Cable)",,"",0,"normal",35,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Lat Pulldown (Cable)",,"",1,"normal",35,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Lat Pulldown (Cable)",,"",2,"normal",40,7,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",12,8,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",10,10,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",10,10,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bicep Curl (Barbell)",,"",0,"normal",25,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bicep Curl (Barbell)",,"",1,"normal",25,10,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Bicep Curl (Barbell)",,"",2,"normal",25,8,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Face Pull",,"",0,"normal",12.5,12,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Face Pull",,"",1,"normal",12.5,10,,,
"PULL","May 26, 2026, 1:03 PM","May 26, 2026, 1:41 PM","","Face Pull",,"",2,"normal",12.5,10,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Incline Bench Press (Barbell)",,"Did dumbells instead (exception).",0,"normal",40,10,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Incline Bench Press (Barbell)",,"Did dumbells instead (exception).",1,"normal",40,10,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Incline Bench Press (Barbell)",,"Did dumbells instead (exception).",2,"normal",40,5,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Shoulder Press (Dumbbell)",,"",0,"normal",24,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Shoulder Press (Dumbbell)",,"",1,"normal",28,7,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Shoulder Press (Dumbbell)",,"",2,"normal",28,7,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Bench Press (Dumbbell)",,"",0,"normal",28,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Bench Press (Dumbbell)",,"",1,"normal",28,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Bench Press (Dumbbell)",,"",2,"normal",28,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Lateral Raise (Dumbbell)",,"",0,"normal",6,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Lateral Raise (Dumbbell)",,"",1,"normal",6,10,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Lateral Raise (Dumbbell)",,"",2,"normal",6,10,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Skullcrusher (Dumbbell)",,"",0,"normal",10,12,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Skullcrusher (Dumbbell)",,"",1,"normal",10,8,,,
"PUSH","May 25, 2026, 1:19 PM","May 25, 2026, 2:03 PM","Need better form","Skullcrusher (Dumbbell)",,"",2,"normal",10,8,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Incline Bench Press (Barbell)",,"",0,"normal",40,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Incline Bench Press (Barbell)",,"",1,"normal",40,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Incline Bench Press (Barbell)",,"",2,"normal",40,8,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",24,12,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",24,12,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",24,12,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Bench Press (Dumbbell)",,"",0,"normal",28,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Bench Press (Dumbbell)",,"",1,"normal",28,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Bench Press (Dumbbell)",,"",2,"normal",28,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",6,8,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",6,8,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",6,8,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Skullcrusher (Dumbbell)",,"",0,"normal",10,10,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Skullcrusher (Dumbbell)",,"",1,"normal",7.5,6,,,
"PUSH","May 22, 2026, 1:12 PM","May 22, 2026, 1:55 PM","","Skullcrusher (Dumbbell)",,"",2,"normal",5,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Squat (Barbell)",,"",0,"normal",30,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Squat (Barbell)",,"",1,"normal",30,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Squat (Barbell)",,"",2,"normal",30,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Bulgarian Split Squat",,"",0,"normal",5,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Bulgarian Split Squat",,"",1,"normal",6,10,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Bulgarian Split Squat",,"",2,"normal",6,10,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Glute Ham Raise",,"",0,"normal",,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Glute Ham Raise",,"",1,"normal",,12,,,
"LEGS","May 20, 2026, 1:37 PM","May 20, 2026, 2:15 PM","","Glute Ham Raise",,"",2,"normal",,12,,,
